BCID_Bayes	s_mean(1/cycle)	s_std(1/cycle)	called_timepoint
6662	0.19802683944449914	0.044326837444340544	6
6665	0.19496141876712214	0.04830922270147557	6
6834	0.16197750563064017	0.03909703659741156	6
6891	0.27315331859400416	0.059574057030064735	8
7053	0.18983389092128305	0.04479085673189209	8
7207	0.20826422205536455	0.051007641414028054	7
7290	0.23262003648480503	0.0520364795386257	7
7373	0.21431284123823455	0.05027072497152232	9
7407	0.27618277519633294	0.05597296133040752	7
7500	0.27157754445379323	0.0656709921673168	6
7557	0.2199326577719124	0.05001831506725374	7
7575	0.27905147730603974	0.05140358519589313	8
7620	0.17915840989541157	0.044745611282804534	8
7635	0.2501569836791768	0.05589796037977565	7
7735	0.24996804488288685	0.05629119309851746	7
7825	0.19965273646163337	0.048012982907548775	6
7848	0.19573923024654555	0.03832250539059428	9
7883	0.21088966873285422	0.0501541308712355	5
7889	0.20280735624701593	0.043655559049810444	7
7917	0.2652370576898104	0.05759003225943654	6
8074	0.2699254490706013	0.06452152196575002	7
